Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00005_01_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.50e-01; Runtime: 431.5s; Iterations = 1200, grads =   4.702e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 439.2s; Iterations = 1220, grads =   2.242e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 446.5s; Iterations = 1240, grads =   8.470e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 453.6s; Iterations = 1260, grads =   6.578e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 460.5s; Iterations = 1280, grads =   2.954e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 467.4s; Iterations = 1300, grads =   3.906e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 474.8s; Iterations = 1320, grads =   8.015e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 481.9s; Iterations = 1340, grads =   4.934e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 489.1s; Iterations = 1360, grads =   1.307e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 496.2s; Iterations = 1380, grads =   1.147e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 503.5s; Iterations = 1400, grads =   7.047e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 510.9s; Iterations = 1420, grads =   1.837e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 517.8s; Iterations = 1440, grads =   6.210e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 524.7s; Iterations = 1460, grads =   6.755e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 531.6s; Iterations = 1480, grads =   7.792e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 538.8s; Iterations = 1500, grads =   7.598e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 546.6s; Iterations = 1520, grads =   4.708e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 553.8s; Iterations = 1540, grads =   5.992e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 560.8s; Iterations = 1560, grads =   7.303e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 567.9s; Iterations = 1580, grads =   3.200e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 575.0s; Iterations = 1600, grads =   7.397e-05, unitary_metric = 0.99999
