Running Block:  244


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block244.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :1.24e-01; Runtime: 445.4s; Iterations = 2460, grads =   7.314e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 448.6s; Iterations = 2480, grads =   8.740e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 451.8s; Iterations = 2500, grads =   2.096e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 455.6s; Iterations = 2520, grads =   9.876e-04, unitary_metric = 1.00004
Error = :1.25e-01; Runtime: 458.8s; Iterations = 2540, grads =   7.718e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 462.1s; Iterations = 2560, grads =   5.461e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 465.3s; Iterations = 2580, grads =   9.022e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 468.5s; Iterations = 2600, grads =   2.199e-06, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 472.3s; Iterations = 2620, grads =   7.497e-06, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 475.5s; Iterations = 2640, grads =   9.124e-05, unitary_metric = 1.00004
Error = :1.25e-01; Runtime: 478.7s; Iterations = 2660, grads =   3.496e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 482.0s; Iterations = 2680, grads =   9.568e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 485.2s; Iterations = 2700, grads =   2.197e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 488.9s; Iterations = 2720, grads =   7.555e-06, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 492.2s; Iterations = 2740, grads =   1.144e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 495.4s; Iterations = 2760, grads =   1.340e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 498.6s; Iterations = 2780, grads =   2.268e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 501.8s; Iterations = 2800, grads =   1.707e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 505.6s; Iterations = 2820, grads =   3.095e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 508.8s; Iterations = 2840, grads =   8.959e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 512.0s; Iterations = 2860, grads =   9.489e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 515.3s; Iterations = 2880, grads =   1.287e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 518.5s; Iterations = 2900, grads =   1.236e-04, unitary_metric = 1.00003
Error = :1.25e-01; Runtime: 522.4s; Iterations = 2920, grads =   8.551e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 525.6s; Iterations = 2940, grads =   1.246e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 528.8s; Iterations = 2960, grads =   1.214e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 532.1s; Iterations = 2980, grads =   1.517e-06, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 535.3s; Iterations = 3000, grads =   1.030e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 539.1s; Iterations = 3020, grads =   1.489e-06, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 542.3s; Iterations = 3040, grads =   2.907e-06, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 545.5s; Iterations = 3060, grads =   1.061e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 548.7s; Iterations = 3080, grads =   2.312e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 552.0s; Iterations = 3100, grads =   6.074e-06, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 555.7s; Iterations = 3120, grads =   5.532e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 558.9s; Iterations = 3140, grads =   1.134e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 562.2s; Iterations = 3160, grads =   1.560e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 565.4s; Iterations = 3180, grads =   2.218e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 568.6s; Iterations = 3200, grads =   3.775e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 572.4s; Iterations = 3220, grads =   1.636e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 575.7s; Iterations = 3240, grads =   1.982e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 579.0s; Iterations = 3260, grads =   8.332e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 582.3s; Iterations = 3280, grads =   1.248e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 585.6s; Iterations = 3300, grads =   1.627e-05, unitary_metric = 1.00003
